pn,anom,qty,method,avg
log2,,,oc0.05,0.51
log2,,,oc0.1,0.51
log2,,,oc0.3,0.51
log2,,,oc0.5,0.05
log1,insert,5,oc0.05,0.88
log1,insert,5,oc0.1,0.87
log1,insert,5,oc0.3,0.66
log1,insert,5,oc0.5,0.47
log1,insert,5,sv,0.9
log1,rework,15,oc0.05,0.81
log1,rework,15,oc0.1,0.79
log1,rework,15,oc0.3,0.63
log1,rework,15,oc0.5,0.48
log1,rework,15,sv,0.79
log2,all,5,oc0.05,0.5
log2,all,5,oc0.1,0.5
log2,all,5,oc0.3,0.5
log2,all,5,oc0.5,0.5
log2,all,5,sv,0.95
log1,rework,30,oc0.05,0.68
log1,rework,30,oc0.1,0.66
log1,rework,30,oc0.3,0.57
log1,rework,30,oc0.5,0.49
log1,rework,30,sv,0.62
log1,all,20,oc0.05,0.77
log1,all,20,oc0.1,0.75
log1,all,20,oc0.3,0.61
log1,all,20,oc0.5,0.49
log1,all,20,sv,0.81
log1,rework,5,oc0.05,0.91
log1,rework,5,oc0.1,0.86
log1,rework,5,oc0.3,0.67
log1,rework,5,oc0.5,0.49
log1,rework,5,sv,0.93
log1,all,10,oc0.05,0.87
log1,all,10,oc0.1,0.84
log1,all,10,oc0.3,0.66
log1,all,10,oc0.5,0.51
log1,all,10,sv,0.9
log2,earlylate,15,oc0.05,0.51
log2,earlylate,15,oc0.1,0.51
log2,earlylate,15,oc0.3,0.51
log2,earlylate,15,oc0.5,0.14
log2,earlylate,15,sv,0.86
log2,earlylate,5,oc0.05,0.96
log2,earlylate,5,oc0.1,0.96
log2,earlylate,5,oc0.3,0.96
log2,earlylate,5,oc0.5,0.59
log2,earlylate,5,sv,0.96
log2,earlylate,30,oc0.05,0.73
log2,earlylate,30,oc0.1,0.73
log2,earlylate,30,oc0.3,0.73
log2,earlylate,30,oc0.5,0.27
log2,earlylate,30,sv,0.73
log2,earlylate,20,oc0.05,0.5
log2,earlylate,20,oc0.1,0.5
log2,earlylate,20,oc0.3,0.5
log2,earlylate,20,oc0.5,0.28
log2,earlylate,20,sv,0.81
log1,skip,20,oc0.05,0.77
log1,skip,20,oc0.1,0.74
log1,skip,20,oc0.3,0.62
log1,skip,20,oc0.5,0.47
log1,skip,20,sv,0.73
log2,rework,5,oc0.05,0.53
log2,rework,5,oc0.1,0.53
log2,rework,5,oc0.3,0.53
log2,rework,5,oc0.5,0.17
log2,rework,5,sv,0.9
log2,insert,30,oc0.05,0.56
log2,insert,30,oc0.1,0.56
log2,insert,30,oc0.3,0.56
log2,insert,30,oc0.5,0.42
log2,insert,30,sv,0.58
log1,all,15,oc0.05,0.83
log1,all,15,oc0.1,0.79
log1,all,15,oc0.3,0.65
log1,all,15,oc0.5,0.52
log1,all,15,sv,0.85
log1,earlylate,15,oc0.05,0.82
log1,earlylate,15,oc0.1,0.8
log1,earlylate,15,oc0.3,0.67
log1,earlylate,15,oc0.5,0.52
log1,earlylate,15,sv,0.86
log1,insert,20,oc0.05,0.76
log1,insert,20,oc0.1,0.73
log1,insert,20,oc0.3,0.58
log1,insert,20,oc0.5,0.52
log1,insert,20,sv,0.68
log2,skip,30,oc0.05,0.68
log2,skip,30,oc0.1,0.65
log2,skip,30,oc0.3,0.44
log2,skip,30,oc0.5,0.44
log2,skip,30,sv,0.58
log1,insert,30,oc0.05,0.69
log1,insert,30,oc0.1,0.66
log1,insert,30,oc0.3,0.57
log1,insert,30,oc0.5,0.47
log1,insert,30,sv,0.58
log1,skip,30,oc0.05,0.68
log1,skip,30,oc0.1,0.66
log1,skip,30,oc0.3,0.59
log1,skip,30,oc0.5,0.51
log1,skip,30,sv,0.62
log1,insert,10,oc0.05,0.85
log1,insert,10,oc0.1,0.83
log1,insert,10,oc0.3,0.66
log1,insert,10,oc0.5,0.52
log1,insert,10,sv,0.82
log2,insert,5,oc0.05,0.53
log2,insert,5,oc0.1,0.53
log2,insert,5,oc0.3,0.53
log2,insert,5,oc0.5,0.53
log2,insert,5,sv,0.9
log2,insert,10,oc0.05,0.53
log2,insert,10,oc0.1,0.53
log2,insert,10,oc0.3,0.53
log2,insert,10,oc0.5,0.53
log2,insert,10,sv,0.82
log1,all,30,oc0.05,0.68
log1,all,30,oc0.1,0.65
log1,all,30,oc0.3,0.58
log1,all,30,oc0.5,0.48
log1,all,30,sv,0.71
log1,all,5,oc0.05,0.9
log1,all,5,oc0.1,0.88
log1,all,5,oc0.3,0.69
log1,all,5,oc0.5,0.55
log1,all,5,sv,0.95
log1,rework,10,oc0.05,0.87
log1,rework,10,oc0.1,0.83
log1,rework,10,oc0.3,0.66
log1,rework,10,oc0.5,0.51
log1,rework,10,sv,0.86
log1,insert,15,oc0.05,0.82
log1,insert,15,oc0.1,0.75
log1,insert,15,oc0.3,0.64
log1,insert,15,oc0.5,0.51
log1,insert,15,sv,0.75
log2,skip,15,oc0.05,0.82
log2,skip,15,oc0.1,0.78
log2,skip,15,oc0.3,0.76
log2,skip,15,oc0.5,0.76
log2,skip,15,sv,0.75
log1,earlylate,10,oc0.05,0.85
log1,earlylate,10,oc0.1,0.81
log1,earlylate,10,oc0.3,0.67
log1,earlylate,10,oc0.5,0.5
log1,earlylate,10,sv,0.9
log2,all,30,oc0.05,0.52
log2,all,30,oc0.1,0.52
log2,all,30,oc0.3,0.52
log2,all,30,oc0.5,0.52
log2,all,30,sv,0.72
log2,all,20,oc0.05,0.82
log2,all,20,oc0.1,0.82
log2,all,20,oc0.3,0.82
log2,all,20,oc0.5,0.52
log2,all,20,sv,0.82
log1,earlylate,20,oc0.05,0.77
log1,earlylate,20,oc0.1,0.75
log1,earlylate,20,oc0.3,0.61
log1,earlylate,20,oc0.5,0.48
log1,earlylate,20,sv,0.81
log2,insert,15,oc0.05,0.85
log2,insert,15,oc0.1,0.85
log2,insert,15,oc0.3,0.85
log2,insert,15,oc0.5,0.25
log2,insert,15,sv,0.75
log2,rework,15,oc0.05,0.55
log2,rework,15,oc0.1,0.55
log2,rework,15,oc0.3,0.55
log2,rework,15,oc0.5,0.51
log2,rework,15,sv,0.75
log1,earlylate,30,oc0.05,0.69
log1,earlylate,30,oc0.1,0.67
log1,earlylate,30,oc0.3,0.58
log1,earlylate,30,oc0.5,0.48
log1,earlylate,30,sv,0.71
log2,rework,20,oc0.05,0.8
log2,rework,20,oc0.1,0.8
log2,rework,20,oc0.3,0.8
log2,rework,20,oc0.5,0.27
log2,rework,20,sv,0.68
log1,,,oc0.05,0.96
log1,,,oc0.1,0.9
log1,,,oc0.3,0.71
log1,,,oc0.5,0.56
log2,skip,5,oc0.05,0.5
log2,skip,5,oc0.1,0.5
log2,skip,5,oc0.3,0.5
log2,skip,5,oc0.5,0.5
log2,skip,5,sv,0.91
log2,earlylate,10,oc0.05,0.91
log2,earlylate,10,oc0.1,0.91
log2,earlylate,10,oc0.3,0.91
log2,earlylate,10,oc0.5,0.17
log2,earlylate,10,sv,0.91
log2,all,10,oc0.05,0.91
log2,all,10,oc0.1,0.91
log2,all,10,oc0.3,0.91
log2,all,10,oc0.5,0.52
log2,all,10,sv,0.91
log1,rework,20,oc0.05,0.76
log1,rework,20,oc0.1,0.73
log1,rework,20,oc0.3,0.61
log1,rework,20,oc0.5,0.51
log1,rework,20,sv,0.73
log1,skip,5,oc0.05,0.91
log1,skip,5,oc0.1,0.87
log1,skip,5,oc0.3,0.7
log1,skip,5,oc0.5,0.48
log1,skip,5,sv,0.93
log1,skip,10,oc0.05,0.86
log1,skip,10,oc0.1,0.82
log1,skip,10,oc0.3,0.64
log1,skip,10,oc0.5,0.5
log1,skip,10,sv,0.86
log1,skip,15,oc0.05,0.82
log1,skip,15,oc0.1,0.79
log1,skip,15,oc0.3,0.64
log1,skip,15,oc0.5,0.49
log1,skip,15,sv,0.77
log1,earlylate,5,oc0.05,0.92
log1,earlylate,5,oc0.1,0.86
log1,earlylate,5,oc0.3,0.68
log1,earlylate,5,oc0.5,0.5
log1,earlylate,5,sv,0.95
log2,insert,20,oc0.05,0.55
log2,insert,20,oc0.1,0.55
log2,insert,20,oc0.3,0.55
log2,insert,20,oc0.5,0.32
log2,insert,20,sv,0.68
