log,method,size0,normal0,anom0,size1,normal1,anom1,nu
log2,oc,750,750,0,750,750,0,0.05
log2,oc,750,750,0,750,750,0,0.1
log2,oc,750,750,0,750,750,0,0.3
log2,oc,1500,1500,0,0,0,0,0.5
log1_anom_insert_5,oc,106,100,6,1394,1341,53,0.05
log1_anom_insert_5,oc,106,100,6,1394,1341,53,0.1
log1_anom_insert_5,oc,464,445,19,1036,996,40,0.3
log1_anom_insert_5,oc,766,739,27,734,702,32,0.5
log1_anom_insert_5,sv,70,67,3,1430,1374,56
log1_anom_rework_15,oc,84,76,8,1416,1208,208,0.05
log1_anom_rework_15,oc,116,105,11,1384,1179,205,0.1
log1_anom_rework_15,oc,461,391,70,1039,893,146,0.3
log1_anom_rework_15,oc,794,683,111,706,601,105,0.5
log1_anom_rework_15,sv,137,116,21,1363,1168,195
log2_anom_all_5,oc,749,718,31,751,705,46,0.05
log2_anom_all_5,oc,749,718,31,751,705,46,0.1
log2_anom_all_5,oc,749,718,31,751,705,46,0.3
log2_anom_all_5,oc,749,718,31,751,705,46,0.5
log2_anom_all_5,sv,0,0,0,1500,1423,77
log1_anom_rework_30,oc,66,43,23,1434,1027,407,0.05
log1_anom_rework_30,oc,126,87,39,1374,983,391,0.1
log1_anom_rework_30,oc,436,315,121,1064,755,309,0.3
log1_anom_rework_30,oc,762,549,213,738,521,217,0.5
log1_anom_rework_30,sv,294,218,76,1206,852,354
log1_anom_all_20,oc,130,105,25,1370,1100,270,0.05
log1_anom_all_20,oc,159,130,29,1341,1075,266,0.1
log1_anom_all_20,oc,446,353,93,1054,852,202,0.3
log1_anom_all_20,oc,767,617,150,733,588,145,0.5
log1_anom_all_20,sv,0,0,0,1500,1205,295
log1_anom_rework_5,oc,61,60,1,1439,1358,81,0.05
log1_anom_rework_5,oc,146,140,6,1354,1278,76,0.1
log1_anom_rework_5,oc,456,428,28,1044,990,54,0.3
log1_anom_rework_5,oc,791,748,43,709,670,39,0.5
log1_anom_rework_5,sv,25,23,2,1475,1395,80
log1_anom_all_10,oc,68,60,8,1432,1292,140,0.05
log1_anom_all_10,oc,131,117,14,1369,1235,134,0.1
log1_anom_all_10,oc,470,427,43,1030,925,105,0.3
log1_anom_all_10,oc,843,759,84,657,593,64,0.5
log1_anom_all_10,sv,0,0,0,1500,1352,148
log2_anom_earlylate_15,oc,700,596,104,800,695,105,0.05
log2_anom_earlylate_15,oc,700,596,104,800,695,105,0.1
log2_anom_earlylate_15,oc,700,596,104,800,695,105,0.3
log2_anom_earlylate_15,oc,1500,1291,209,0,0,0,0.5
log2_anom_earlylate_15,sv,0,0,0,1500,1291,209
log2_anom_earlylate_5,oc,0,0,0,1500,1428,72,0.05
log2_anom_earlylate_5,oc,0,0,0,1500,1428,72,0.1
log2_anom_earlylate_5,oc,0,0,0,1500,1428,72,0.3
log2_anom_earlylate_5,oc,762,724,38,738,704,34,0.5
log2_anom_earlylate_5,sv,0,0,0,1500,1428,72
log2_anom_earlylate_30,oc,0,0,0,1500,1085,415,0.05
log2_anom_earlylate_30,oc,0,0,0,1500,1085,415,0.1
log2_anom_earlylate_30,oc,0,0,0,1500,1085,415,0.3
log2_anom_earlylate_30,oc,1500,1085,415,0,0,0,0.5
log2_anom_earlylate_30,sv,0,0,0,1500,1085,415
log2_anom_earlylate_20,oc,743,588,155,757,607,150,0.05
log2_anom_earlylate_20,oc,743,588,155,757,607,150,0.1
log2_anom_earlylate_20,oc,743,588,155,757,607,150,0.3
log2_anom_earlylate_20,oc,1500,1195,305,0,0,0,0.5
log2_anom_earlylate_20,sv,0,0,0,1500,1195,305
log1_anom_skip_20,oc,77,62,15,1423,1137,286,0.05
log1_anom_skip_20,oc,142,114,28,1358,1085,273,0.1
log1_anom_skip_20,oc,462,366,96,1038,833,205,0.3
log1_anom_skip_20,oc,813,652,161,687,547,140,0.5
log1_anom_skip_20,sv,195,156,39,1305,1043,262
log2_anom_rework_5,oc,721,686,35,779,728,51,0.05
log2_anom_rework_5,oc,721,686,35,779,728,51,0.1
log2_anom_rework_5,oc,721,686,35,779,728,51,0.3
log2_anom_rework_5,oc,1457,1374,83,43,40,3,0.5
log2_anom_rework_5,sv,72,69,3,1428,1345,83
log2_anom_insert_30,oc,546,390,156,954,664,290,0.05
log2_anom_insert_30,oc,546,390,156,954,664,290,0.1
log2_anom_insert_30,oc,546,390,156,954,664,290,0.3
log2_anom_insert_30,oc,1070,745,325,430,309,121,0.5
log2_anom_insert_30,sv,423,305,118,1077,749,328
log1_anom_all_15,oc,62,53,9,1438,1218,220,0.05
log1_anom_all_15,oc,113,94,19,1387,1177,210,0.1
log1_anom_all_15,oc,427,364,63,1073,907,166,0.3
log1_anom_all_15,oc,713,610,103,787,661,126,0.5
log1_anom_all_15,sv,0,0,0,1500,1271,229
log1_anom_earlylate_15,oc,92,76,16,1408,1184,224,0.05
log1_anom_earlylate_15,oc,130,109,21,1370,1151,219,0.1
log1_anom_earlylate_15,oc,454,373,81,1046,887,159,0.3
log1_anom_earlylate_15,oc,805,669,136,695,591,104,0.5
