log,method,size0,normal0,anom0,size1,normal1,anom1,nu
log2,oc,720,720,0,780,780,0,0.05
log2,oc,720,720,0,780,780,0,0.1
log2,oc,720,720,0,780,780,0,0.3
log2,oc,1500,1500,0,0,0,0,0.5
log1_anom_insert_5,oc,121,112,9,1379,1310,69,0.05
log1_anom_insert_5,oc,121,112,9,1379,1310,69,0.1
log1_anom_insert_5,oc,498,471,27,1002,951,51,0.3
log1_anom_insert_5,oc,827,787,40,673,635,38,0.5
log1_anom_insert_5,sv,81,74,7,1419,1348,71,-1
log1_anom_rework_15,oc,98,88,10,1402,1185,217,0.05
log1_anom_rework_15,oc,132,116,16,1368,1157,211,0.1
log1_anom_rework_15,oc,497,427,70,1003,846,157,0.3
log1_anom_rework_15,oc,804,686,118,696,587,109,0.5
log1_anom_rework_15,sv,134,114,20,1366,1159,207,-1
log2_anom_all_5,oc,752,722,30,748,711,37,0.05
log2_anom_all_5,oc,752,722,30,748,711,37,0.1
log2_anom_all_5,oc,752,722,30,748,711,37,0.3
log2_anom_all_5,oc,752,722,30,748,711,37,0.5
log2_anom_all_5,sv,0,0,0,1500,1433,67,-1
log1_anom_rework_30,oc,65,53,12,1435,997,438,0.05
log1_anom_rework_30,oc,117,94,23,1383,956,427,0.1
log1_anom_rework_30,oc,456,326,130,1044,724,320,0.3
log1_anom_rework_30,oc,776,548,228,724,502,222,0.5
log1_anom_rework_30,sv,271,187,84,1229,863,366,-1
log1_anom_all_20,oc,78,66,12,1422,1167,255,0.05
log1_anom_all_20,oc,159,136,23,1341,1097,244,0.1
log1_anom_all_20,oc,497,413,84,1003,820,183,0.3
log1_anom_all_20,oc,776,646,130,724,587,137,0.5
log1_anom_all_20,sv,0,0,0,1500,1233,267,-1
log1_anom_rework_5,oc,70,65,5,1430,1368,62,0.05
log1_anom_rework_5,oc,168,158,10,1332,1275,57,0.1
log1_anom_rework_5,oc,489,470,19,1011,963,48,0.3
log1_anom_rework_5,oc,806,770,36,694,663,31,0.5
log1_anom_rework_5,sv,33,33,0,1467,1400,67,-1
log1_anom_all_10,oc,63,55,8,1437,1307,130,0.05
log1_anom_all_10,oc,130,113,17,1370,1249,121,0.1
log1_anom_all_10,oc,472,435,37,1028,927,101,0.3
log1_anom_all_10,oc,851,770,81,649,592,57,0.5
log1_anom_all_10,sv,0,0,0,1500,1362,138,-1
log2_anom_earlylate_15,oc,735,632,103,765,645,120,0.05
log2_anom_earlylate_15,oc,735,632,103,765,645,120,0.1
log2_anom_earlylate_15,oc,735,632,103,765,645,120,0.3
log2_anom_earlylate_15,oc,1500,1277,223,0,0,0,0.5
log2_anom_earlylate_15,sv,0,0,0,1500,1277,223,-1
log2_anom_earlylate_5,oc,0,0,0,1500,1430,70,0.05
log2_anom_earlylate_5,oc,0,0,0,1500,1430,70,0.1
log2_anom_earlylate_5,oc,0,0,0,1500,1430,70,0.3
log2_anom_earlylate_5,oc,0,0,0,1500,1430,70,0.5
log2_anom_earlylate_5,sv,0,0,0,1500,1430,70,-1
log2_anom_earlylate_30,oc,0,0,0,1500,1090,410,0.05
log2_anom_earlylate_30,oc,0,0,0,1500,1090,410,0.1
log2_anom_earlylate_30,oc,0,0,0,1500,1090,410,0.3
log2_anom_earlylate_30,oc,1500,1090,410,0,0,0,0.5
log2_anom_earlylate_30,sv,0,0,0,1500,1090,410,-1
log2_anom_earlylate_20,oc,740,603,137,760,609,151,0.05
log2_anom_earlylate_20,oc,740,603,137,760,609,151,0.1
log2_anom_earlylate_20,oc,740,603,137,760,609,151,0.3
log2_anom_earlylate_20,oc,1500,1212,288,0,0,0,0.5
log2_anom_earlylate_20,sv,0,0,0,1500,1212,288,-1
log1_anom_skip_20,oc,80,66,14,1420,1145,275,0.05
log1_anom_skip_20,oc,168,142,26,1332,1069,263,0.1
log1_anom_skip_20,oc,481,389,92,1019,822,197,0.3
log1_anom_skip_20,oc,804,648,156,696,563,133,0.5
log1_anom_skip_20,sv,184,151,33,1316,1060,256,-1
log2_anom_rework_5,oc,670,639,31,830,783,47,0.05
log2_anom_rework_5,oc,670,639,31,830,783,47,0.1
log2_anom_rework_5,oc,670,639,31,830,783,47,0.3
log2_anom_rework_5,oc,702,671,31,798,751,47,0.5
log2_anom_rework_5,sv,73,72,1,1427,1350,77,-1
log2_anom_insert_30,oc,513,339,174,987,708,279,0.05
log2_anom_insert_30,oc,513,339,174,987,708,279,0.1
log2_anom_insert_30,oc,513,339,174,987,708,279,0.3
